,train,val
0,TCGA-3C-AALI,TCGA-A1-A0SH
1,TCGA-3C-AALJ,TCGA-A1-A0SK
2,TCGA-3C-AALK,TCGA-A2-A04T
3,TCGA-4H-AAAK,TCGA-A2-A0CP
4,TCGA-5L-AAT0,TCGA-A2-A0CR
5,TCGA-5L-AAT1,TCGA-A2-A0CS
6,TCGA-5T-A9QA,TCGA-A2-A0D4
7,TCGA-A1-A0SB,TCGA-A2-A0EP
8,TCGA-A1-A0SD,TCGA-A2-A0EQ
9,TCGA-A1-A0SE,TCGA-A2-A0SW
10,TCGA-A1-A0SF,TCGA-A2-A0YJ
11,TCGA-A1-A0SI,TCGA-A2-A0YK
12,TCGA-A1-A0SJ,TCGA-A2-A1FX
13,TCGA-A1-A0SM,TCGA-A2-A3XW
14,TCGA-A1-A0SN,TCGA-A7-A0CE
15,TCGA-A1-A0SP,TCGA-A7-A0D9
16,TCGA-A1-A0SQ,TCGA-A7-A0DA
17,TCGA-A2-A04N,TCGA-A7-A13E
18,TCGA-A2-A04P,TCGA-A7-A26H
19,TCGA-A2-A04Q,TCGA-A7-A2KD
20,TCGA-A2-A04R,TCGA-A8-A06R
21,TCGA-A2-A04U,TCGA-A8-A07I
22,TCGA-A2-A04V,TCGA-A8-A086
23,TCGA-A2-A04W,TCGA-A8-A08J
24,TCGA-A2-A04X,TCGA-A8-A08Z
25,TCGA-A2-A04Y,TCGA-A8-A092
26,TCGA-A2-A0CK,TCGA-A8-A09I
27,TCGA-A2-A0CL,TCGA-A8-A0A4
28,TCGA-A2-A0CM,TCGA-AC-A2BK
29,TCGA-A2-A0CQ,TCGA-AC-A2FF
30,TCGA-A2-A0CT,TCGA-AC-A3QP
31,TCGA-A2-A0CU,TCGA-AC-A3YJ
32,TCGA-A2-A0CV,TCGA-AC-A5EH
33,TCGA-A2-A0CW,TCGA-AC-A5XU
34,TCGA-A2-A0CX,TCGA-AC-A62Y
35,TCGA-A2-A0D0,TCGA-AN-A0AK
36,TCGA-A2-A0D3,TCGA-AN-A0FJ
37,TCGA-A2-A0EM,TCGA-AN-A0FK
38,TCGA-A2-A0EN,TCGA-AN-A0FL
39,TCGA-A2-A0EO,TCGA-AN-A0FT
40,TCGA-A2-A0ER,TCGA-AN-A0FV
41,TCGA-A2-A0ES,TCGA-AN-A0XS
42,TCGA-A2-A0ET,TCGA-AO-A03R
43,TCGA-A2-A0EU,TCGA-AO-A03T
44,TCGA-A2-A0EV,TCGA-AO-A0J9
45,TCGA-A2-A0EW,TCGA-AO-A0JG
46,TCGA-A2-A0EX,TCGA-AO-A0JJ
47,TCGA-A2-A0EY,TCGA-AO-A126
48,TCGA-A2-A0ST,TCGA-AO-A1KO
49,TCGA-A2-A0SU,TCGA-AO-A1KT
50,TCGA-A2-A0SV,TCGA-AR-A0TZ
51,TCGA-A2-A0SX,TCGA-AR-A0U2
52,TCGA-A2-A0SY,TCGA-AR-A1AI
53,TCGA-A2-A0T0,TCGA-AR-A1AR
54,TCGA-A2-A0T1,TCGA-AR-A1AV
55,TCGA-A2-A0T2,TCGA-AR-A1AX
56,TCGA-A2-A0T3,TCGA-AR-A1AY
57,TCGA-A2-A0T4,TCGA-AR-A24H
58,TCGA-A2-A0T5,TCGA-AR-A24L
59,TCGA-A2-A0T6,TCGA-AR-A24R
60,TCGA-A2-A0T7,TCGA-AR-A24S
61,TCGA-A2-A0YC,TCGA-AR-A250
62,TCGA-A2-A0YD,TCGA-AR-A251
63,TCGA-A2-A0YE,TCGA-AR-A254
64,TCGA-A2-A0YF,TCGA-AR-A256
65,TCGA-A2-A0YG,TCGA-AR-A2LO
66,TCGA-A2-A0YH,TCGA-AR-A2LR
67,TCGA-A2-A0YI,TCGA-AR-A5QQ
68,TCGA-A2-A0YL,TCGA-B6-A0I2
69,TCGA-A2-A0YT,TCGA-B6-A0IE
70,TCGA-A2-A1FV,TCGA-B6-A0IP
71,TCGA-A2-A1FW,TCGA-B6-A0IQ
72,TCGA-A2-A1FZ,TCGA-B6-A0RT
73,TCGA-A2-A1G0,TCGA-B6-A0WS
74,TCGA-A2-A1G1,TCGA-B6-A0X4
75,TCGA-A2-A1G4,TCGA-B6-A0X5
76,TCGA-A2-A1G6,TCGA-BH-A0AW
77,TCGA-A2-A259,TCGA-BH-A0AY
78,TCGA-A2-A25A,TCGA-BH-A0B9
79,TCGA-A2-A25B,TCGA-BH-A0BW
80,TCGA-A2-A25C,TCGA-BH-A0C1
81,TCGA-A2-A25D,TCGA-BH-A0C3
82,TCGA-A2-A25E,TCGA-BH-A0DE
83,TCGA-A2-A25F,TCGA-BH-A0DI
84,TCGA-A2-A3KD,TCGA-BH-A0DS
85,TCGA-A2-A3XT,TCGA-BH-A0DT
86,TCGA-A2-A3XU,TCGA-BH-A0DV
87,TCGA-A2-A3XV,TCGA-BH-A0E0
88,TCGA-A2-A3XX,TCGA-BH-A0EB
89,TCGA-A2-A3XZ,TCGA-BH-A0H5
90,TCGA-A2-A3Y0,TCGA-BH-A0H9
91,TCGA-A2-A4S1,TCGA-BH-A0HI
92,TCGA-A2-A4S2,TCGA-BH-A0HO
93,TCGA-A2-A4S3,TCGA-BH-A0HU
94,TCGA-XX-A899,TCGA-BH-A0WA
95,TCGA-A7-A0CG,TCGA-BH-A18F
96,TCGA-A7-A0CH,TCGA-BH-A18Q
97,TCGA-A7-A0CJ,TCGA-BH-A18R
98,TCGA-A7-A0DB,TCGA-BH-A1EU
99,TCGA-A7-A13D,TCGA-BH-A1FL
100,TCGA-A7-A13F,TCGA-BH-A208
101,TCGA-A7-A13G,TCGA-BH-A2L8
102,TCGA-A7-A26E,TCGA-C8-A12N
103,TCGA-A7-A26F,TCGA-C8-A12P
104,TCGA-A7-A26G,TCGA-C8-A12V
105,TCGA-A7-A26I,TCGA-C8-A137
106,TCGA-A7-A26J,TCGA-C8-A138
107,TCGA-A7-A3RF,TCGA-C8-A1HG
108,TCGA-A7-A425,TCGA-C8-A275
109,TCGA-A7-A4SD,TCGA-C8-A278
110,TCGA-A7-A4SE,TCGA-C8-A3M8
111,TCGA-A7-A56D,TCGA-D8-A13Y
112,TCGA-A7-A5ZV,TCGA-D8-A142
113,TCGA-A7-A5ZW,TCGA-D8-A145
114,TCGA-A7-A5ZX,TCGA-D8-A146
115,TCGA-A7-A6VV,TCGA-D8-A1JC
116,TCGA-A7-A6VW,TCGA-D8-A1JE
117,TCGA-XX-A89A,TCGA-D8-A1JI
118,TCGA-A7-A6VY,TCGA-D8-A1JK
119,TCGA-A8-A06O,TCGA-D8-A1JM
120,TCGA-A8-A06P,TCGA-D8-A1JS
121,TCGA-A8-A06Q,TCGA-D8-A1X5
122,TCGA-A8-A06T,TCGA-D8-A1X6
123,TCGA-A8-A06U,TCGA-D8-A1X9
124,TCGA-A8-A06X,TCGA-D8-A1XC
125,TCGA-A8-A06Y,TCGA-D8-A1XL
126,TCGA-A8-A06Z,TCGA-D8-A1XQ
127,TCGA-A8-A075,TCGA-D8-A1Y1
128,TCGA-A8-A076,TCGA-D8-A27K
129,TCGA-A8-A079,TCGA-D8-A27N
130,TCGA-A8-A07B,TCGA-D8-A27P
131,TCGA-A8-A07E,TCGA-D8-A73X
132,TCGA-A8-A07F,TCGA-E2-A14O
133,TCGA-A8-A07G,TCGA-E2-A14T
134,TCGA-A8-A07J,TCGA-E2-A14W
135,TCGA-A8-A07L,TCGA-E2-A152
136,TCGA-A8-A07O,TCGA-E2-A15A
